arrivalRate,rtAvg,rt95,rt99,rtMax,optionalRatio,utilization
1,0.0728842958255,0.0977801516208,0.134831292863,0.17850150018,1.0,0.0677563549079
2,0.0763638144256,0.124486229079,0.163914646442,0.22079916532,1.0,0.139033883964
3,0.0801977630213,0.133908012911,0.18987686468,0.249794779156,1.0,0.208029913235
4,0.0845662324498,0.143037718992,0.203903752932,0.350987144006,1.0,0.278880610092
5,0.0905065579606,0.171486959152,0.244059243502,0.364789715204,1.0,0.347963600867
6,0.0965732414134,0.190075394471,0.27776757362,0.463681892258,1.0,0.418161133724
7,0.104340395781,0.212285899579,0.307610927581,0.453608024775,0.999568469505,0.486427042033
8,0.114830528686,0.247402447435,0.349514981503,0.481056702554,0.998997493734,0.55811464795
9,0.128872213989,0.286760575698,0.394690356085,0.487425308546,0.997549565605,0.626978336119
10,0.147459837107,0.337725676582,0.43262094882,0.486229533385,0.993202039388,0.695528198925
11,0.167657878396,0.384870846433,0.454963173377,0.489723216226,0.980395732653,0.752829518938
12,0.182983519835,0.400548106123,0.459465910666,0.489695100944,0.958813700919,0.803790265537
13,0.202996935241,0.417870743816,0.468570369401,0.489527363673,0.930282555283,0.848770218976
14,0.22486951379,0.435108833201,0.473717965586,0.489891883694,0.89809734198,0.883228459079
15,0.238144629698,0.441889139189,0.476136482976,0.48987805121,0.859433209154,0.905811951738
16,0.248450927895,0.445847597939,0.476278969578,0.489913520274,0.817377763936,0.920617103874
17,0.254136879556,0.448802478158,0.478620761041,0.489976783598,0.779587277324,0.930733174056
18,0.254747467422,0.451886082732,0.47954185382,0.489904543557,0.740901261321,0.936551705282
19,0.2573032416,0.450720205083,0.478937242498,0.489756667891,0.707037643208,0.941179864577
20,0.258970792726,0.453372450939,0.478513148107,0.489920816324,0.672936101916,0.943605699873
21,0.259252329419,0.45358113974,0.481046611072,0.48992573292,0.640022919353,0.943343629831
22,0.257878962739,0.453376026605,0.479998889295,0.489923881359,0.611240045506,0.945974505699
23,0.257425571743,0.454057247074,0.48100785842,0.490245640383,0.585631034183,0.949064762988
24,0.257581107556,0.455209662661,0.480713268272,0.489982462719,0.562369802516,0.951963797051
25,0.256738430434,0.455269294964,0.479805741909,0.489974410363,0.540802434532,0.953149298517
26,0.255731782452,0.453954029489,0.480414094819,0.490157991959,0.521283158544,0.954723821908
27,0.255545199864,0.453762865551,0.479529070893,0.489892306525,0.501968211527,0.955189327084
28,0.255105688987,0.45414272731,0.480757527185,0.48998813494,0.484245201948,0.956364592104
29,0.255456021324,0.454752600114,0.479548067489,0.489967857684,0.468615916955,0.958330374025
30,0.253971703501,0.4551407163,0.479863467099,0.489984093944,0.45346892353,0.959916721479
31,0.25248545805,0.45422173473,0.479288986581,0.489877104648,0.439692875887,0.961652238324
32,0.252720594082,0.45472069655,0.479751086049,0.489943314022,0.425215889465,0.960202490899
33,0.251276419719,0.453146568311,0.479000956529,0.489865730516,0.413056054563,0.962563204249
34,0.252579236398,0.454047270339,0.480250564353,0.490482997615,0.400845003841,0.963327968482
35,0.251348473739,0.453073343145,0.479584039509,0.489992258893,0.389954075775,0.965313410083
36,0.250607592039,0.45289802385,0.480524736905,0.490232047003,0.379131453435,0.966433012063
37,0.250747123561,0.453880458349,0.479707717697,0.489983929432,0.368266883645,0.966131640128
38,0.248763911543,0.451439705622,0.478302854847,0.489984414603,0.359175039662,0.96712032422
39,0.248394391142,0.452485310855,0.479054914058,0.489914293462,0.348773771842,0.965712993233
40,0.248878980373,0.452471195476,0.479087620364,0.490057315464,0.340626803503,0.967894421555
41,0.248403524884,0.452373085005,0.479871708662,0.489988430725,0.332818438151,0.968463609917
42,0.24723316926,0.451282456338,0.478498872391,0.489961849913,0.324477633374,0.967937915881
43,0.247102644903,0.451175258377,0.479113935971,0.489804453524,0.317054933757,0.969432995393
44,0.246698071771,0.450777070169,0.477304389666,0.489980528181,0.309577599781,0.969910578104
45,0.246590453494,0.450303878108,0.478301730818,0.489947109194,0.302716225876,0.969568507859
46,0.246403732063,0.450671495184,0.478847974362,0.48998589134,0.296394230769,0.97102818571
47,0.245576007744,0.450056152336,0.47772731973,0.489938859288,0.290071271108,0.970955693142
48,0.245154638364,0.44956213315,0.477719014955,0.489994009377,0.284319272438,0.972677142643
49,0.245355679043,0.450170261278,0.477148528904,0.489931692193,0.278299078086,0.972386411546

