arrivalRate,brownoutMethod,discipline,outDir,relativeDeviation,seed,timeNmu,timeNsigma,timeYmu,timeYsigma,optionalRatio,rtAvg,rtMax,rtP95,rtP99,rtP999,utilization
1,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0001,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.071628705534,0.138796727773,0.0713117738497,0.129122827823,0.137829337778,0.0603807330847
2,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0002,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.0757712734903,0.181812541588,0.121547830527,0.139565043011,0.174632915838,0.133065032475
3,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0003,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.0793193529032,0.191636667636,0.133513049196,0.157878032125,0.191362897765,0.203583229247
4,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0004,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.0844918031038,0.260399909046,0.13998148765,0.192994809292,0.237796591898,0.270063262679
5,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0005,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.0882377513518,0.278005240637,0.165735764031,0.193777464378,0.248729681822,0.336016703871
6,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0006,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.097964900999,0.358759377845,0.187158808943,0.264574188721,0.347238752656,0.409342516236
7,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0007,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.104701012996,0.378693642865,0.207842717532,0.29334647484,0.373218752813,0.487909665566
8,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0008,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.117822320411,0.402211348027,0.267698940651,0.342549446641,0.401400335594,0.567829845091
9,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0009,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.130505103668,0.431956800556,0.288093652629,0.4000277515,0.429895918349,0.644741346655
10,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0010,1,0,0.00067,6.7e-06,0.07,0.0007,0.997835497835,0.147733506343,0.483903896634,0.334257622361,0.432927577829,0.474101003584,0.707061719607
20,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0020,1,0,0.00067,6.7e-06,0.07,0.0007,0.667602470522,0.254080681087,0.491320956961,0.457319299489,0.479669740898,0.489811732578,0.930375086762
30,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0030,1,0,0.00067,6.7e-06,0.07,0.0007,0.458725970599,0.249162618808,0.489968805554,0.451388521834,0.478264544578,0.489252987122,0.958176366496
40,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0040,1,0,0.00067,6.7e-06,0.07,0.0007,0.346545866365,0.248743142141,0.49110786808,0.45565091509,0.481607551434,0.489027336639,0.969182910983
50,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0050,1,0,0.00067,6.7e-06,0.07,0.0007,0.273521505376,0.243257194846,0.490317444733,0.44729836675,0.477422078301,0.488419173737,0.972549594751
60,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0060,1,0,0.00067,6.7e-06,0.07,0.0007,0.227876520112,0.239122873955,0.49132861705,0.445987661549,0.476597013737,0.488065124521,0.977352396381
70,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0070,1,0,0.00067,6.7e-06,0.07,0.0007,0.195243451711,0.236411723557,0.493230316373,0.442894359584,0.475346597692,0.488915089572,0.982200585147
80,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0080,1,0,0.00067,6.7e-06,0.07,0.0007,0.169491525424,0.242930378776,0.492869629471,0.446114061955,0.474196554731,0.487145655796,0.984755158873
90,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0090,1,0,0.00067,6.7e-06,0.07,0.0007,0.149782473586,0.237007050501,0.488149003575,0.440182071571,0.469069886932,0.486830361347,0.9872855171
100,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0100,1,0,0.00067,6.7e-06,0.07,0.0007,0.132471550105,0.236846531708,0.490663044472,0.442015744793,0.471560919642,0.485721980259,0.990500706491
200,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0200,1,0,0.00067,6.7e-06,0.07,0.0007,0.0623433060338,0.233954735699,0.481549144675,0.441441553603,0.465275838845,0.476222088793,0.996145019795
300,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0300,1,0,0.00067,6.7e-06,0.07,0.0007,0.0381603250831,0.208038179449,0.484539807988,0.392283336444,0.419978139682,0.473442340174,0.997622099023
400,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0400,1,0,0.00067,6.7e-06,0.07,0.0007,0.0261104524525,0.238985546704,0.489273071754,0.453572506217,0.474067227694,0.48338737559,0.999350492079
500,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0500,1,0,0.00067,6.7e-06,0.07,0.0007,0.0190137579224,0.239873952515,0.491701929811,0.456992281359,0.477135903592,0.484448472033,0.999516025107
600,queuecut,fifo,results-fifo-queuecut-relativeDeviation0001-seed0000-arrivalRate0600,1,0,0.00067,6.7e-06,0.07,0.0007,0.0142050159162,0.220768998648,0.494412493897,0.425577442652,0.472068622441,0.485427155355,0.9997093323
