arrivalRate,brownoutMethod,discipline,outDir,relativeDeviation,seed,timeNmu,timeNsigma,timeYmu,timeYsigma,optionalRatio,rtAvg,rtMax,rtP95,rtP99,rtP999,utilization
1,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0001,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.0727975367028,0.138796727773,0.0793412558423,0.129122827823,0.137829337778,0.0603807330847
2,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0002,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.0799909266695,0.192010374826,0.133357065668,0.17419992836,0.190256347509,0.133065032475
3,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0003,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.086531248814,0.198188832343,0.150829206079,0.190942027665,0.196949986636,0.203583229247
4,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0004,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.0958928140456,0.260399909046,0.180289424565,0.22211773606,0.258440997475,0.270063262679
5,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0005,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.10268639683,0.278005240637,0.197372618772,0.235517846035,0.274889681822,0.335887237801
6,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0006,1,0,0.00067,6.7e-06,0.07,0.0007,0.983146067416,0.110854786155,0.266936337247,0.223484380465,0.245385715322,0.26587083745,0.40274121181
7,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0007,1,0,0.00067,6.7e-06,0.07,0.0007,0.971786833856,0.117276013389,0.331874318421,0.238327521993,0.26756746139,0.315713340785,0.477471651536
8,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0008,1,0,0.00067,6.7e-06,0.07,0.0007,0.948717948718,0.12021003723,0.281107413856,0.228945084725,0.259340944096,0.275873074641,0.541376560063
9,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0009,1,0,0.00067,6.7e-06,0.07,0.0007,0.913198573127,0.118725756672,0.282997799207,0.225890210612,0.262091559205,0.280800412191,0.593965283933
10,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0010,1,0,0.00067,6.7e-06,0.07,0.0007,0.877705627706,0.114576586809,0.27511966264,0.202950077461,0.258549603865,0.268405128933,0.629950074161
20,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0020,1,0,0.00067,6.7e-06,0.07,0.0007,0.622047244094,0.107384273131,0.231098776473,0.204065103299,0.2163725677,0.223811920607,0.863744159903
30,timecut,ps,results-ps-timecut-relativeDeviation0001-seed0000-arrivalRate0030,1,0,0.00067,6.7e-06,0.07,0.0007,0.450301204819,0.0914173255655,0.22918014473,0.20193143285,0.213860599384,0.22865567981,0.939832833237
