arrivalRate,brownoutMethod,discipline,outDir,relativeDeviation,seed,timeNmu,timeNsigma,timeYmu,timeYsigma,optionalRatio,rtAvg,rtMax,rtP95,rtP99,rtP999,utilization
1,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0001,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.0727975367028,0.138796727773,0.0793412558423,0.129122827823,0.137829337778,0.0603807330847
2,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0002,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.0799909266695,0.192010374826,0.133357065668,0.17419992836,0.190256347509,0.133065032475
3,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0003,1,0,0.00067,6.7e-06,0.07,0.0007,1.0,0.086531248814,0.198188832343,0.150829206079,0.190942027665,0.196949986636,0.203583229247
4,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0004,1,0,0.00067,6.7e-06,0.07,0.0007,0.994366197183,0.0940882770411,0.224088340892,0.173123620191,0.209777439328,0.219561895799,0.268680551116
5,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0005,1,0,0.00067,6.7e-06,0.07,0.0007,0.981693363844,0.0979210713748,0.224118438146,0.18401354937,0.202326308388,0.220093568725,0.330316383653
6,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0006,1,0,0.00067,6.7e-06,0.07,0.0007,0.951310861423,0.0992506716737,0.215508183085,0.188038054243,0.202471441542,0.210821564569,0.390894895148
7,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0007,1,0,0.00067,6.7e-06,0.07,0.0007,0.937304075235,0.102694059876,0.222306316075,0.189986313017,0.203910596075,0.221495358313,0.462157089923
8,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0008,1,0,0.00067,6.7e-06,0.07,0.0007,0.91363022942,0.105862023183,0.22832064212,0.191264290282,0.206431278228,0.225630708952,0.52330936214
9,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0009,1,0,0.00067,6.7e-06,0.07,0.0007,0.892984542212,0.108291528448,0.230077632636,0.193805977109,0.20749100326,0.224916928936,0.58076825313
10,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0010,1,0,0.00067,6.7e-06,0.07,0.0007,0.869471413161,0.110741052502,0.230456764134,0.19424298219,0.207288551034,0.229887067819,0.624142757014
20,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0020,1,0,0.00067,6.7e-06,0.07,0.0007,0.616985376828,0.104297483536,0.238527269427,0.2010224978,0.213402881199,0.224976120266,0.855349811378
30,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0030,1,0,0.00067,6.7e-06,0.07,0.0007,0.448042168675,0.0899256397476,0.228940500319,0.202042750532,0.213161867151,0.223882136293,0.923828921007
40,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0040,1,0,0.00067,6.7e-06,0.07,0.0007,0.342655367232,0.0783802981233,0.232403961913,0.201693022272,0.215793689499,0.223764223446,0.949590417724
50,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0050,1,0,0.00067,6.7e-06,0.07,0.0007,0.273766816143,0.0710259288348,0.232834748936,0.20389428306,0.216748396745,0.226577353438,0.974177036679
60,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0060,1,0,0.00067,6.7e-06,0.07,0.0007,0.227833894501,0.0655733741201,0.235206185484,0.202702039565,0.215975594405,0.229374350123,0.977197160988
70,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0070,1,0,0.00067,6.7e-06,0.07,0.0007,0.195047435279,0.0604074388006,0.23223304821,0.202591825964,0.216450294698,0.228058160034,0.973800203075
80,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0080,1,0,0.00067,6.7e-06,0.07,0.0007,0.167808698084,0.057365133437,0.240647893208,0.202237689048,0.21694719549,0.226774374373,0.976494205729
90,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0000-arrivalRate0090,1,0,0.00067,6.7e-06,0.07,0.0007,0.148373479017,0.0530961769966,0.236844119219,0.198847256633,0.218481088738,0.229402366566,0.974123113072
1,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0001,1,1,0.00067,6.7e-06,0.07,0.0007,1.0,0.0794079849267,0.168804011546,0.135263298557,0.154488886038,0.167372498995,0.0681324784579
2,queuecut,ps,results-ps-queuecut-relativeDeviation0001-seed0001-arrivalRate0002,1,1,0.00067,6.7e-06,0.07,0.0007,1.0,0.083807083461,0.241164552635,0.140829608847,0.231161103058,0.240029531113,0.147010897504
